"season","week","game_id","lead_changes"
2002,1,2002090500,4
2002,1,2002090800,4
2002,1,2002090801,7
2002,1,2002090802,6
2002,1,2002090803,3
2002,1,2002090804,2
2002,1,2002090805,1
2002,1,2002090806,1
2002,1,2002090807,2
2002,1,2002090808,4
2002,1,2002090809,2
2002,1,2002090810,10
2002,1,2002090811,1
2002,1,2002090812,5
2002,1,2002090813,2
2002,1,2002090900,2
2002,2,2002091500,3
2002,2,2002091501,1
2002,2,2002091502,1
2002,2,2002091503,3
2002,2,2002091504,1
2002,2,2002091505,4
2002,2,2002091506,1
2002,2,2002091507,1
2002,2,2002091508,3
2002,2,2002091509,11
2002,2,2002091510,1
2002,2,2002091511,2
2002,2,2002091512,1
2002,2,2002091513,1
2002,2,2002091514,3
2002,2,2002091600,1
2002,3,2002092200,2
2002,3,2002092201,1
2002,3,2002092202,3
2002,3,2002092203,1
2002,3,2002092204,3
2002,3,2002092205,2
2002,3,2002092206,1
2002,3,2002092207,3
2002,3,2002092208,3
2002,3,2002092209,2
2002,3,2002092210,4
2002,3,2002092211,1
2002,3,2002092212,1
2002,3,2002092300,3
2002,4,2002092900,5
2002,4,2002092901,1
2002,4,2002092902,4
2002,4,2002092903,2
2002,4,2002092904,3
2002,4,2002092905,2
2002,4,2002092906,3
2002,4,2002092907,3
2002,4,2002092908,2
2002,4,2002092909,1
2002,4,2002092910,3
2002,4,2002092911,1
2002,4,2002092912,1
2002,4,2002093000,2
2002,5,2002100600,3
2002,5,2002100601,5
2002,5,2002100602,1
2002,5,2002100603,7
2002,5,2002100604,1
2002,5,2002100605,1
2002,5,2002100606,4
2002,5,2002100607,3
2002,5,2002100608,7
2002,5,2002100609,2
2002,5,2002100610,1
2002,5,2002100611,1
2002,5,2002100612,3
2002,5,2002100700,1
2002,6,2002101300,2
2002,6,2002101301,1
2002,6,2002101302,4
2002,6,2002101303,1
2002,6,2002101304,4
2002,6,2002101305,1
2002,6,2002101306,2
2002,6,2002101307,3
2002,6,2002101308,2
2002,6,2002101309,1
2002,6,2002101310,2
2002,6,2002101311,4
2002,6,2002101312,1
2002,6,2002101400,5
2002,7,2002102000,3
2002,7,2002102001,5
2002,7,2002102002,1
2002,7,2002102003,3
2002,7,2002102004,4
2002,7,2002102005,5
2002,7,2002102006,4
2002,7,2002102007,3
2002,7,2002102008,2
2002,7,2002102009,2
2002,7,2002102010,1
2002,7,2002102011,2
2002,7,2002102012,3
2002,7,2002102100,1
2002,8,2002102700,6
2002,8,2002102701,3
2002,8,2002102702,1
2002,8,2002102703,4
2002,8,2002102704,2
2002,8,2002102705,1
2002,8,2002102706,3
2002,8,2002102707,1
2002,8,2002102708,3
2002,8,2002102709,7
2002,8,2002102710,1
2002,8,2002102711,1
2002,8,2002102712,3
2002,8,2002102800,2
2002,9,2002110300,3
2002,9,2002110301,1
2002,9,2002110302,2
2002,9,2002110303,1
2002,9,2002110304,3
2002,9,2002110305,5
2002,9,2002110306,1
2002,9,2002110307,1
2002,9,2002110308,1
2002,9,2002110309,1
2002,9,2002110310,4
2002,9,2002110311,1
2002,9,2002110312,2
2002,9,2002110400,1
2002,10,2002111000,3
2002,10,2002111001,3
2002,10,2002111002,3
2002,10,2002111003,2
2002,10,2002111004,3
2002,10,2002111005,2
2002,10,2002111006,1
2002,10,2002111007,3
2002,10,2002111008,2
2002,10,2002111009,4
2002,10,2002111010,5
2002,10,2002111011,2
2002,10,2002111012,3
2002,10,2002111100,1
2002,11,2002111700,3
2002,11,2002111701,2
2002,11,2002111702,2
2002,11,2002111703,4
2002,11,2002111704,3
2002,11,2002111705,3
2002,11,2002111706,4
2002,11,2002111707,3
2002,11,2002111708,2
2002,11,2002111709,2
2002,11,2002111710,2
2002,11,2002111711,1
2002,11,2002111712,1
2002,11,2002111713,3
2002,11,2002111714,2
2002,11,2002111800,1
2002,12,2002112400,1
2002,12,2002112401,2
2002,12,2002112402,2
2002,12,2002112403,1
2002,12,2002112404,3
2002,12,2002112405,2
2002,12,2002112406,2
2002,12,2002112407,3
2002,12,2002112408,5
2002,12,2002112409,2
2002,12,2002112410,2
2002,12,2002112411,2
2002,12,2002112412,5
2002,12,2002112413,1
2002,12,2002112414,1
2002,12,2002112500,1
2002,13,2002112800,1
2002,13,2002112801,4
2002,13,2002120100,1
2002,13,2002120101,3
2002,13,2002120102,5
2002,13,2002120103,6
2002,13,2002120104,4
2002,13,2002120105,4
2002,13,2002120106,2
2002,13,2002120107,1
2002,13,2002120108,2
2002,13,2002120109,2
2002,13,2002120110,4
2002,13,2002120111,1
2002,13,2002120112,4
2002,13,2002120200,3
2002,14,2002120800,1
2002,14,2002120801,2
2002,14,2002120802,1
2002,14,2002120803,3
2002,14,2002120804,6
2002,14,2002120805,1
2002,14,2002120806,4
2002,14,2002120807,2
2002,14,2002120808,1
2002,14,2002120809,4
2002,14,2002120810,1
2002,14,2002120811,1
2002,14,2002120812,1
2002,14,2002120813,2
2002,14,2002120814,6
2002,14,2002120900,1
2002,15,2002121500,3
2002,15,2002121501,4
2002,15,2002121502,2
2002,15,2002121503,4
2002,15,2002121504,2
2002,15,2002121505,1
2002,15,2002121506,3
2002,15,2002121507,1
2002,15,2002121508,6
2002,15,2002121509,1
2002,15,2002121510,1
2002,15,2002121511,3
2002,15,2002121512,2
2002,15,2002121513,3
2002,15,2002121514,4
2002,15,2002121600,1
2002,16,2002122100,5
2002,16,2002122101,2
2002,16,2002122102,1
2002,16,2002122200,1
2002,16,2002122201,3
2002,16,2002122202,2
2002,16,2002122203,1
2002,16,2002122204,1
2002,16,2002122205,1
2002,16,2002122206,2
2002,16,2002122207,3
2002,16,2002122208,4
2002,16,2002122209,1
2002,16,2002122210,1
2002,16,2002122211,3
2002,16,2002122300,1
2002,17,2002122800,2
2002,17,2002122801,1
2002,17,2002122900,3
2002,17,2002122901,1
2002,17,2002122902,4
2002,17,2002122903,4
2002,17,2002122904,2
2002,17,2002122905,1
2002,17,2002122906,1
2002,17,2002122907,1
2002,17,2002122908,2
2002,17,2002122909,3
2002,17,2002122910,2
2002,17,2002122911,1
2002,17,2002122912,3
2002,17,2002123000,2
2003,1,2003090400,4
2003,1,2003090700,4
2003,1,2003090701,1
